titulo,descricao,orgao
Alvará de Desmembramento/Desdobramento de Áreas,1. O cidadão pode solicitar este serviço quando desejar realizar: a) Desmembramento da área (divisão de uma área em mais de 02 lotes de terra); b) Desdobramento (divisão de lote em 02). 2. Esse serviço está disponível para pessoa física e jurídica.,
Alvará Definitivo > Abertura,"1. O alvará é um documento ou declaração que garante a autorização de funcionamento para qualquer estabelecimento da Pessoa Física. Dependendo da atividade a ser exercida, poderão ser emitidos os seguintes alvarás: a) Alvará de Localização e Funcionamento (exigido para qualquer tipo de atividade); b) Alvará Sanitário (exigido quando a atividade é de interesse à saúde); 2. O Alvará de Localização e Funcionamento tem validade até o dia 31 de dezembro do ano corrente e é pago anualmente, proporcional à quantidade de meses desde a data da solicitação até o fim do ano; 3. O Alvará Sanitário será válido pelo prazo de um ano, a contar da data de expedição, podendo ser renovado por períodos iguais e sucessivos; 4. Poderão ser exigidos outros documentos e informações complementares, visando a total compreensão do pedido; 5. Durante o processo de solicitação do Alvará será feita a inscrição municipal automaticamente, em um único processo.",
Alvará Definitivo / Pessoa Física > 2ª via,"1. Esse serviço pode ser solicitado nos casos de perda, roubo, furto ou extravio; 2. A solicitação de 2ª via pode ser tanto do Alvará de Localização e Funcionamento quanto do Alvará Sanitário, ou de ambos",
Alvará de Remembramento de Lotes,1. O cidadão pode solicitar este serviço quando desejar realizar a junção de lotes; 2. Esse serviço está disponível para pessoa física e jurídica.,
Alvará > Parcelamento de débito,"1. Esse serviço pode ser solicitado quando desejar solicitar o parcelamento de débitos referentes ao Alvará de Localização e Funcionamento E Alvará Sanitário; 2. Interessado só pode solicitar parcelamento de alvará referente a exercícios anteriores; 3. No ato do parcelamento, o solicitante deverá efetuar, de entrada, o pagamento correspondente a 10% do valor do débito; 4. Caso o valor correspondente a 10% do débito seja inferior à meia UFMRB, o solicitante deverá pagar meia UFMRB; 5. Esse serviço está disponível para pessoa física e jurídica.",
Alvará > Reparcelamento de débito,"1. O reparcelamento pode ser solicitado quando solicitou parcelamento de sua dívida e não efetuou o pagamento e deseja renegociá-la; 2. Pode solicitar reparcelamento de alvará referente a exercícios anteriores; 3. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 20% de entrada do valor total do débito e finalize o parcelamento;",
Aprovação de projeto arquitetônico,"1. Esse serviço pode ser solicitado quando o cidadão deseja solicitar financiamento para construir seu imóvel; 2. Poderão ser exigidos outros documentos e informações complementares, além dos já estabelecidos na Instrução Normativa, visando à total compreensão do pedido. Ao final do serviço, se o projeto for aprovado, o cidadão receberá a Certidão de Aprovação; 3. Esse serviço está disponível para pessoa física e jurídicas. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Atualização Cadastral,"1. Atualização Cadastral atualiza os dados do cidadão (nome, endereço residencial, telefone, e-mail, filiação etc) junto à Prefeitura; 2. Concluída a atualização, o cidadão poderá ter acesso aos serviços disponíveis no Portal do Contribuinte. 3. Esse serviço está disponível para pessoa física e jurídica.",
Atualização Cadastral do imóvel,"1. Atualização Cadastral atualiza os dados do imóvel (nome do proprietário, endereço do imóvel, área do imóvel, quando o cidadão deseja atualizar o imóvel da imobiliária ou instituições financeiras para seu nome, etc) junto à Prefeitura; 2. Esse serviço está disponível para pessoa física e jurídica.",
Averbação de Escritura Pública,"1. A Averbação de Escritura Pública é o registro de todas as alterações ou acréscimos referentes ao imóvel ou às pessoas que constam do registro ou da matrícula do imóvel; 2. São atos de averbação: a) as mudanças de nome; b) as modificações de estado civil; c) os cancelamentos, inclusive os de hipoteca; 3. Serviço disponível para pessoa física e jurídica.",
Baixa de débitos pagos,"Esse serviço deve ser solicitado quando o cidadão efetuou pagamento de algum débito relacionado à prefeitura, mas o sistema não deu baixa automaticamente.",
Cadastro de Credor > Abertura,1. O Cadastro de Credor é feito para viabilizar pagamento por parte da Prefeitura. 2. Serviço disponível para pessoa física e jurídica. Atenção: o pagamento não poderá ser feito em conta-benefício.,
Cadastro de Credor > Alteração,1. Esse serviço pode ser solicitado quando o interessado deseja alterar dados do seu cadastro de credor na prefeitura. 2. Serviço disponível para pessoa física e jurídica.,
Certidão Fac – Símile > Marca de Fogo > 2ª via,"1. Esse serviço deve ser solicitação em duas situações: a) quando você perdeu, rasurou ou extraviou sua Certidão; b) quando a Certidão não atende as exigências de órgãos fiscalizadores ou bancos, por ser considerada fora dos modelos de padronização atuais.",
Certidão Fac – Símile > Marca de Fogo > Consulta da marca,"1. Esse serviço pode ser solicitado quando o cidadão pretende registrar sua marca de fogo e ainda não confeccionou o desenho no ferro. Nessa situação, poderá ir até o CAC da OCA para verificar se o desenho o qual pretende registrar ainda não foi registrado por outra pessoa; 2. Caso o desenho apresentado já tenha sido registrado por outra pessoa, o cidadão poderá efetuar adaptações ao desenho para que esteja apto à confecção no ferro. 3. A consulta da marca não garante que o desenho, o qual pretende registrar, ficará reservado até a solicitação efetiva do registro da marca de fogo.",
Certidão Fac – Símile > Marca de Fogo > Emissão,1. Esse serviço é para registro da marca utilizada pelos produtores rurais para a identificação permanente do gado; 2. Serviço disponível para pessoa física e jurídica.,
Compensação de débito > Pessoa Física > Titular,"1. O serviço de compensação é quando o cidadão realizou pagamento indevido na Prefeitura Municipal de Rio Branco e solicita ressarcimento. Durante a solicitação do ressarcimento, caso o cidadão tenha alguma dívida vencida ou a vencer na prefeitura, em vez de receber o valor que pagou de forma indevida, poderá compensar o valor a ser ressarcido, quitando ou abatendo em sua dívida; 2. Para solicitar esse serviço, o débito em questão não pode estar em contestação judicial, ou seja, o cidadão não pode estar com processo administrativo na Prefeitura contestando a sua dívida; 3. A compensação poderá ser feita ainda que o valor a ser ressarcido não seja referente ao débito a ser compensado.",
Compensação de débito > Pessoa Jurídica,"1. O serviço de compensação é quando a pessoa jurídica realizou pagamento indevido na Prefeitura Municipal de Rio Branco e solicita ressarcimento. Durante a solicitação do ressarcimento, caso a pessoa jurídica tenha alguma dívida vencida ou a vencer na prefeitura, em vez de receber o valor que pagou de forma indevida, poderá compensar o valor a ser ressarcido, quitando ou abatendo em sua dívida; 2. Para solicitar esse serviço, o débito em questão não pode estar em contestação judicial, ou seja, a pessoa jurídica não pode estar com processo administrativo na Prefeitura contestando a sua dívida; 3. A compensação poderá ser feita ainda que o valor a ser ressarcido não seja referente ao débito a ser compensado.",
Concessão de uso de espaço público,"Informações: 1.A Concessão de Uso de Espaços Públicos municipais será precedida de processo licitatório, podendo ser explorado por terceiros pelo prazo de sessenta meses renováveis, cuja documentação deverá estar em conformidade com o edital. 2.O Termo de concessão de uso será concedido aos seguintes espaços: a)Os espaços, as bancas e as cafeteiras internas e externas situados nos Mercados, nos Centros de Abastecimentos municipais, no Centro Comercial Aziz Abucater (Camelódromo), no Centro Comercial Eduardo Pinho, serão administrados pela Secretaria Municipal de Agricultura e Floresta – SAFRA; b)Os espaços situados no Centro de Pequeno Comércio Aureolino Cyrillo e nas praças, a exemplo das Praças do Relógio, Oscar Passos e do Passeio (Calçadão da Benjamim Constant / Quintino Bocaiúva), serão administrados pela Secretaria Municipal de Desenvolvimento e Gestão Urbana – SMDGU; c)Os espaços situados nas Estações Rodoviárias, terminais urbanos e no Centro Comercial Mulheres e Grifes serão administrados pela Superintendência Municipal de Transportes e Trânsito – RBTRANS; d)Os espaços situados nos parques ambientais ou em todas e quaisquer áreas verdes e Áreas de Preservação Permanentes - APPs de Rio Branco, serão administrados pela Secretaria Municipal de Meio Ambiente – SEMEIA; e)As salas comerciais localizadas no prédio sede da Prefeitura serão administradas pela Secretaria Municipal de Finanças – SEFIN 3.A administração pública pode a qualquer tempo requisitar ou retomar ou o espaço público, caso pretenda dar ao mesmo destinação pública. Parcelamento de débito: 1. Esse serviço pode ser solicitado quando o cidadão deseja parcelar os débitos referentes ao preço público relativo à Concessão de Uso de Espaço Público; 2. De acordo com a Lei nº 1.817/2010, caso haja atraso do pagamento da concessão por um período superior a 90 dias, após notificar o concessionário para o pagamento no prazo de dez dias, serão adotadas as providências legais para retomada do espaço público. Regularização: 1. A regularização da Concessão de Uso de Espaço Público deve ser solicitada quando houver: a) Mudança na estrutura física do local; b) Alteração de atividade etc; c) Revisão do espaço. 2. O serviço também deve ser solicitado nos casos em que houver notificação pela Prefeitura.",
Consulta On-line das Notas e Frequência dos Alunos,1. Esse serviço pode ser acessado pelos responsáveis dos alunos matriculados em alguma escola pública da rede estadual ensino; 2. O serviço destina-se a conferência das notas e frequência escolar dos alunos regularmente matriculados em alguma escola pública da rede estadual ensino.,
Criar conta GOV.BR,"1. A conta gov.br é uma plataforma digital de relacionamento do cidadão com o governo federal brasileiro; 2. O gov.br reúne, em um só lugar, serviços para o cidadão e informações sobre a atuação de todas as áreas do governo.",
Declaração de tempo de serviço,"1. Documento que declara o vínculo, cargo, período inicial, vigente e final entre o servidor e a Secretaria Estadual de Educação; 2. Normalmente, este documento é utilizado para comprovação de vínculo/experiência; 3. Este serviço também pode ser solicitado por e-mail, no endereço: dpublico@see.ac.gov.br",
Denúncias > Contra vizinhos,"1. A denúncia contra o vizinho deve ser feita em um dos CACs da Prefeitura e não poderá ser anônima; 2. O assunto da denúncia deve ser relacionado a obras; 3. Após dada a entrada no processo, o fiscal da prefeitura fará vistoria no local denunciado para fazer análise e verificação se a denúncia procede ou não.",
